id;Name;Origin;style;type;boost;negativeBoost
1;Gaz Coombes;;;;1;0
2;Hannah Lou Clark;;;;0;0
3;Mulatu Astatke (with the Heliocentrics) ;;;;1;0
4;Eden Roxx;;;;0;0
5;OG Maco;;;;0;0
6;Milkavelli;;;;0;0
7;Darq E Freaker;;;;0;0
8;The Illustrious One;;;;0;0
9;Macca Wiles;;;;0;0
10;Star.One;;;;0;0
11;Snoochie Shy;;;;0;0
12;Massive Attack;;;;1;0
13;Young Fathers;;;;0;1
14;Alfa Mist;;;;0;0
15;Royce Wood Junior;;;;1;0
16;Tame Impala;Australia;Psychedelic Rock;;1;0
17;Rich Homie Quan;;;;0;0
18;Denzel Curry;;Hip Hop, Trap;;0;0
19;Show Me The Body;;;;0;0
20;Maraveyas ilegal;;;;0;0
21;Muse;;;;1;0
22;Phantogram;;;;0;0
23;Jack Garratt;;;;1;0
24;Jazz Cartier;;Hip Hop, Trap;;0;0
25;Saba;;;;0;0
26;Paulos Paulidis;;;;1;0
27;Leon of Athens;;;;0;0
28;Jamie woon;;;;1;0
29;Jordan Rakei;;;;0;0
30;Kevin Garrett;;;;0;0
31;Foivos Delivorias;;;;1;0
32;Radiohead;;;;1;0
33;Holly Herndon;;;;0;0
34;Coldplay;;;;1;0
35;Lianna La Hava;;;;0;0
36;Kaiser Chiefs;;;;1;0
37;The Underachievers;;Psychedelic Hip Hop;;0;0
38;Jelani Blackman;;;;1;0
39;Max Pope;;;;0;0
40;Shivum Sharma;;;;0;0
41;James Blake;;;;1;0
42;Mark Pritchard;;;;0;0
43;Desiigner;USA, New York;Hip Hop, Trap;;0;0
44;Katie Melua;;;;1;0
45;Panos Mouzourakis;Greece;;;0;0
46;Spuros Grammenos;Greece;;;0;0
47;Stauros Lantsias;;;Pianist;0;0
48;Eskimo Dance;UK;;;0;0
49;Wiz Khalifa & Taylor Gang;USA;;;0;0
50;Mixpak;UK;;;0;0
51;UKG All Stars;UK;;;0;0
52;Air;;;;0;0
53;Anna Meredith;;;;0;0
54;Goat;;;;0;0
56;Nao;;;;0;0
57;Novelist;;;;0;0
58;Skepta;;;;0;0
59;Slimzee;;;;0;0
60;The Temper Trap;;;;0;0
61;Wild Nothing;;;;0;0
62;Bobo Swae;USA;;;0;0
63;IMPXCT;USA;;;0;0
65;Rae Sremmurd;USA;;;0;0
66;Stamatis Kraounakis & Speira Speira;Greece;;;0;0
67;Galani Dimitra;Greece;;;0;0
68;Tsaligopoulou Eleni;Greece;;;0;0
69;Nega Giwta;Greece;;;0;0
70;Teleman;London, UK;;Band;0;0
71;The Wytches;Peterborough, UK;;Band;0;0
72;Gengahr;London, UK;;Band;0;0
73;F.U.R.S;London, UK;;Band;0;0
74;Ibeyi;;;Band;0;0
75;ALA.NI;London, UK;;Band;0;0
77;Miraa May;London, UK;;Band;0;0
78;Pond;Australia;Psychedelic Rock;Band;0;0
79;Younghusband;London, UK;;Band;0;0
81;Nilhs Frahm;Berlin, Germany;;Band;0;0
82;Dawn of Midi;Brooklyn, USA;Acoustic Trio;Band;0;0
84;Forever Pavot;Paris, France;;Band;0;0
85;The Rodeo;France;;Band;0;0
86;Pollyanna Valentine;London, UK;;Band;0;0
87;Michel Camilo;;;Pianist;0;0
88;Jay Jay Johanson;Sweden;;Band;0;0
89;Goodnigh Lenin;UK;;Band;0;0
91;The Gaslamp Killer (with The Heliocentrics);USA;;Producer with Session Band;0;0
92;Kutmah;UK;;;0;0
94;Noel Gallagher's High Flying Birds;UK;;Band;0;0
95;Black Rivers;UK;;Band;0;0
97;Mac Demarco;;;;0;0
98;Happyness;;;;0;0
100;Clarence Clarity;;;;0;0
101;FKA Twigs;;;;0;0
102;Fryars;;;;0;0
103;Ghost Culture;;;;0;0
104;Haelos;;;;0;0
105;Honne;;;;0;0
106;Hudson Mohawke (live);;;;0;0
107;Ten Walls;;;;0;0
108;Yung Gud;;;;0;0
109;Todd Terje & The Olsens;;;;0;0
110;Kelly Lee Owens;;;;0;0
111;Gwilym Gold;;;;0;0
112;Flo Morrissey;;;;0;0
113;The Vaccines;;;;0;0
114;The Big Moon;;;;0;0
116;The Kins;;;;0;0
117;Django Django;;;;0;0
118;Roller Trio;;;;0;0
120;The cinematic orchestra;;;;0;0
121;Dorian Concept;;;;0;0
123;Tunday Akintan;;;;0;0
124;Kade;;;;0;0
125;Hidden Orchestra;;;;0;0
126;Clarinet Factory;;;;0;0
128;Retrospective For Love;;;;0;0
129;GoGo Penguin;;;;0;0
130;Werkha;;;;0;0
132;Dizraeli & The Small Gods;;;;0;0
133;Barnacles;;;;0;0
135;Oceaan;;;;0;0
136;William Arcane;;;;0;0
138;The Prodigy;;;;0;0
139;Steven Wilson;;;;0;0
140;Chilly Gonzales;;;;0;0
141;Nero Live;;;;0;0
142;Deco Ensemble;;;;0;0
143;U2;;;;0;0
144;Manu Delago Handmade;;;;0;0
145;Nu Civilisation Orchestra;;;;0;0
146;Jacco Gardner;;;;0;0
147;VENN;;;;0;0
148;Tusks;;;;0;0
153;Jungle;;;;0;0
154;Beaty Heart;;;;0;0
155;Tei Shi;;;;0;0
156;Kwabs;;;;0;0
157;Zak Abel;;;;0;0
158;Dornik;;;;0;0
159;Flying Lotus;;;;0;0
160;Jay Electronica;;;;0;0
161;Shabazz Palaces;;;;0;0
162;Lapalux;;;;0;0
163;Wolf Alice;;;;0;0
164;As Elephants Are;;;;0;0
165;Michael A Grammar;;;;0;0
166;Ash Mammal;;;;0;0
167;Linear;;;;0;0
168;Royal Blood;;;;0;0
169;Tigercub;;;;0;0
170;The Electric Swing Circus;;;;0;0
171;The Fresh Dixie Project;;;;0;0
172;Miles Kane;;;;0;0
173;Telegram;;;;0;0
174;Esben and the Witch;;;;0;0
175;Broken D.C.;;;;0;0
176;The Ninetys;;;;0;0
177;Gameface;;;;0;0
178;Shackles;;;;0;0
179;Troyboi X Icekream;;;;0;0
180;Warren Xclnce;;;;0;0
181;Complexion;;;;0;0
182;These New Puritans;;;;0;0
183;Mira Calix;;;;0;0
184;Surf;;;;0;0
185;Kin;;;;0;0
186;Oceania;;;;0;0
187;Childhood;;;;0;0
188;Clubs;;;;0;0
189;White Giant;;;;0;0
190;Chase and Status dj set;;;;0;0
191;Superfood;;;;0;0
192;The Dandy Warhols;;;;0;0
193;Dark Horses;;;;0;0
194;Bluebird Parade;;;;0;0
195;The Gaslamp Killer;;;;0;0
196;Free The Robots;;;;0;0
197;Lost Midas;;;;0;0
198;Honeyblood;;;;0;0
199;Temples;Kettering, UK;Psychedelic Rock;;0;0
200;Klaus Johann Grobe;;;;0;0
201;Electric Child House;London, UK;;;0;0
202;Storms;London, UK;;;0;0
203;O.Children;UK;;;0;0
204;Apocalyptica;;;;0;0
205;Black Flower;Belgium;Ethiojazz;Band;1;0
206;Dexters;;;;0;0
207;Little Night Terrors;;;;0;0
209;Jane Doe;Greece;;;0;0
210;Fuzzy Nerds;Greece;;;0;0
211;Jarvis Cocker;;;;0;0
214;6lack;;;;0;0
215;D Double E;;Grime;MC;0;0
216;Tigran Hamasyan;Armenia;Jazz Piano;;1;0
217;Tory Lanez;Toronto;Hip Hop, Soul Trap;;0;0
218;Kins;;;;0;0
219;Man Without Country;;;;0;0
220;Kenworthy;;;;0;0
221;The Merrylees;;;;0;0
222;Bruno Major;North London;;Singer Songwriter;1;0
223;Andrew McCormack;;Jazz Piano;;0;0
224;The Junipers;Leicester, UK;;;0;0
225;Ghostpoet;;;;0;0
226;Typesun;Bristol, UK;;;0;0
227;Arvanitaki Eleftheria ;Greece;;;0;0
228;Demodeux;Greece;;;0;0
229;Kirin J Callinan;;;;0;0
230;Footsie;;;;0;0
231;Caribou;;;;0;0
232;Maverick Sabre;;;;0;0
233;Daley;;;;0;0
234;Ms Dynamite;;;;0;0
235;Rudimental;;;;0;0
236;Turbowolf;;;;0;0
237;Black Moth;;;;0;0
238;Wet Nuns;;;;0;0
239;Memotone;;;;0;0
240;Blue Daisy (Dj Set);;;;0;0
241;Farai;;;;0;1
242;Iklan ft. Law Holt;;;;0;1
243;Omar;London, UK;British Soul;Band;0;0
244;Louise Golbey;;;;0;0
245;Carl Olander;;;;0;0
246;Laura Rezneck;;;;0;0
247;Lorenza;;;;0;0
248;Yung Lean;Sweden;Hip hop, Cloud Rap;;0;0
249;Princess Nokia;;;;0;0
250;Crystal Castles;;;;0;0
251;Farrows;;;;0;0
252;Young M.A;;;;0;0
253;Tommy Genesis;;;;0;0
254;$UICIDEBOY$;;Hip Hop, Horrorcore, Dark Trap;;0;0
255;Lanterns;;;;0;0
256;Mr Gee;;;;0;0
257;Redlox & Fatneck;;;;0;0
258;Benjamin Yellowitz;;;;0;0
259;Luke Courtier;;;;0;0
260;A K Patterson;;;;0;0
261;Jeff Mills (dj);;;;0;0
262;Kevin Saunderson (dj);;;;0;0
263;Tiesto (dj);;;;0;0
264;Marco Bailey (dj);;;;0;0
265;Danny Howells (dj);;;;0;0
266;Armin Van Buuren (dj);;;;0;0
267;Slacker (dj);;;;0;0
268;Nick Warren (dj);;;;0;0
269;Sasha (dj);Wales, UK;;DJ;0;0
270;James Zabiela (dj);;;;0;0
271;John Digweed (dj);;;;0;0
272;Phill Thompson (dj);;;;0;0
280;Tarek Yamani Trio;New York based from Beirut;Jazz Piano trio;Band;1;0
281;Iron Maiden;London, UK;Heavy Metal;Band;0;0
282;Modeselector;Berlin, Germany;Electronika;Band;0;0
283;808 State;Manchester, UK;Electronica;Band;0;0
284;Kate Simko (with London Electronic Orchestra);Chicago, USA;Electronica;Band;0;0
285;GMS;Amsterdam, Netherlands;Psytrance;DJ Duo;0;0
286;Lotus Omega;;Psytrance;DJ;0;0
287;Earthling;;Psytrance;DJ;0;0
288;Jimmy Van M;Belgium;Progressive House;DJ;0;0
289;Dave Seaman;Leeds, UK;Progressive House;DJ;0;0
290;David Morales;New York, US;House;DJ;0;0
291;Datarock;Norway;Electronic rock;Band;0;0
292;DJ Krush;Tokyo, Japan;Hip Hop;DJ;0;0
293;Kasabian;Leicester, UK;;Band;1;0
294;Zane Lowe;;;DJ;0;0
295;Rudimental (DJ Set);UK;;DJ;0;0
296;Beardyman;London, UK;;Solo musicial;0;0
297;Jagwar Ma;Sydney, Australia;Psychedelic Dance;Band;0;0
298;Hercules And Love Affair;USA;House, nu-disco;Band;0;0
299;Benga;London, UK;Dubstep;DJ;0;0
300;Kode9;UK;Dubstep;DJ;0;0
301;Kraak and Smaak;Netherlands;Electronic;Band;0;0
302;Karuan;;Electronic;;0;0
303;Lamb;UK;Electronic;Band;0;0
304;Portishead;;Trip Hop;Band;1;0
305;The Chemical Borthers;UK;Breakbeat;Band;1;0
306;Queens of the stone age;;;Band;1;0
307;Linkin Park;;;Band;0;0
308;Underworld;;;Band;0;0
309;Aloe Blacc;;;Band;0;0
310;Arcade fire;;;Band;0;0
311;Everything everything;;;Band;0;0
312;Pj Harvey;;;Band;0;0
313;Limp Bizkit;;;Band;0;0
314;DJ Shadow;;;DJ;0;0
315;Apollo 440;;;Band;0;0
316;Uncle;;;Band;0;0
317;Serj Tankian;;;Band;0;0
318;Grand Master Flash;;;Dj;0;0
320;Kiasmos;Iceland;Experimental Techno Duo;Band;0;0
321;Lubomyr Melnyk;Canada/Ukraine;Continuous music;Pianist;0;0
322;Gravitysays_i;Greece;;Band;0;0
323;Andrew McCormack Trio;UK;Jazz Piano Trio;Band;0;0
324;Vagelis Stefanopoulos;Greece;Jazz Piano Trio;Band;0;0
325;UZ;;Trap;DJ;0;0
326;Hucci;;Trap;DJ;0;0
327;Shock Machine;;;;0;0
328;Justice;France;Electronika;Band;1;0
329;Peter Wyeth;Leicester, UK;;;0;0
330;Kato;;;;0;0
331;Charlotte Carpenter;UK;;;0;0
332;Sivu;UK;;;0;0
333;FTSE;Leicester, UK;;;0;0
334;HAUS;London, UK;;;0;0
335;The Pale Faces;Leicester, UK;;;0;0
336;Former Utopia;London, UK;;;0;0
337;Humble He;Leicester, UK;;;0;0
338;Haiku Salut;Derbyshire Dales, UK;;;0;0
339;Tellison;London, UK;;;0;0
340;Whales in Cubicles;London, UK;;;0;0
341;Lovepark;UK;;;0;0
342;Pixel Fix;Oxford, UK;;;0;0
343;Dry the River ;London, UK;;;0;0
344;Arctic Monkeys;;;;1;0
345;Kraftwerk;;;;1;0
346;Korn;;;;0;0
347;Manic Street Preachers;;;;0;0
348;Mando Diao;;;;0;0
349;Lily allen;;;;0;0
350;Moby;;;;0;0
351;Madness;;;;0;0
352;Delinquent Habits;USA;Hip Hop;;0;0
353;Roots Manuva;;;;0;0
354;Patti Smith;;;;0;0
355;Lollobrigida;;;;0;0
356;Chase and Status (Live);;;;0;0
357;Magnetic Man;;;;0;0
358;Pendulum;;;;0;0
359;Noisia;;;;0;0
360;Gonjasufi;;;;0;0
361;Nosal Thing;;;;0;0
362;Tame Impala;;;;0;0
363;Placebo;;;;0;0
364;Limp Bizkit;;;;0;0
365;Blue Octomber;;;;0;0
366;Gogol Bordello;;;;0;0
367;The Kooks;;;;0;0
368;The xx;;;;0;0
369;We are Scientists;;;;0;0
370;Skrillex;;;;0;0
371;Caspa;;;;0;0
372;Atoms for Peace;;;;0;0
373;Kiril Dzajkovski;;;;0;0
374;Alice Russell;UK;;;0;0
375;Bloc Party;UK;;;0;0
376;Chic feat. Nile Rodgers;NYC, US;;;0;0
377;SBTRKT (dj set);London, UK;;;0;0
378;Fatboy Slim;UK;;;0;0
379;Delilah;UK;;;0;0
380;DJ Fresh (Live);UK;live dnb;Band;0;0
381;Skism;London, UK;Dubstep;DJ;0;0
382;Nick Cave and the Bad Seeds;Australia;;Band;0;0
383;Xilent;UK;Dubstep;DJ;0;0
384;Snoop Dogg aka Snoop Lion;USA;;;0;0
385;Viva Vox;Belgrade, Serbia;;Choir;0;0
386;Bad Copy;Belgrade, Serbia;Hip Hop;;0;0
387;Marcelo i Iskaz;Serbia;Hip Hop;;0;0
388;South Central;UK;Dubstep;;0;0
389;Dark Sky (Kosovska Mitrovica);;Metal;;0;0
390;Hype!;Serbia;Metal;;0;0
391;Dawn Day Night;UK;;;0;0
392;Sonic Entity (Live);Belgrade, Serbia;Psytrance;;0;0
393;Freedom Trio;Greece;;;0;0
394;Oleg Chaly Organ Trio;Greece;;;0;0
395;The Souljazz Orchestra;Canada;;Band;1;0
396;Kokolo Afrobeat Orchestra;NYC, USA;;Band;0;0
397;Hooverphonic;Belgium;;Band;1;0
398;Broken Tempo;Greece;;Band;0;0
399;Asian Dub Foundation;;;Band;0;0
400;Joss Stone;UK;;;0;0
401;Yussef Dayes Trio;;;Band;0;0
402;The Courteneers;Middleton, UK;;Band;0;0
403;The Family Rain;Bath, UK;;Band;0;0
404;Iggy and the Stooges;US;;Band;0;0
405;Everlast;US;;;0;0
406;Dirty Granny Tales;Greece;;;1;0
407;Blueneck;UK;Post Rock;Band;0;0
408;Dayend;Greece;;;0;0
