id;Date;title;type;Rate
1;2016-01-28;Roundhouse presents: Gaz Coombes In the Round;1;-1
2;2016-02-01;Roundhouse presents: Mulatu Astatke In the Round;1;-1
3;2016-02-02;OG Maco - The Lord of Rage Tour;16;-1
4;2016-02-03;Massive Attack UK tour ;1;-1
5;2016-02-08;Alfa Mist in London;1;-1
6;2016-02-10;Royce Wood Junior in London;1;-1
7;2016-02-12;Tame Impala UK tour;1;-1
8;2016-02-17;Rich Homie Quan in London;16;-1
9;2016-02-18;Denzel Curry in London;16;-1
10;2016-03-13;Maraveyas ilegal in London;1;-1
11;2016-04-09;Soulection Showcase;2;-1
12;2016-04-11;Muse in London;1;-1
13;2016-04-15;Jack Garratt in London;1;-1
14;2016-04-20;Jazz Cartier in London;16;-1
15;2016-04-21;Paulos paulidis and the B Movies in Garage;1;-1
16;2016-05-17;Jamie Woon at O2 Forum Kentish town;1;-1
17;2016-05-23;Kevin Garrett in London;1;-1
18;2016-05-25;Foivos Delivorias in London;1;-1
19;2016-05-27;Radiohead in London;1;-1
20;2016-05-28;Strawberry Fields festival;3;-1
21;2016-06-11;Field Day Festival 2016;3;-1
22;2016-06-17;Red Bull Culture Clash 2016;4;-1
23;2016-06-18;Coldplay in London;1;5
24;2016-07-11;Kaiser Chiefs at the London Palladium;1;-1
25;2016-08-22;The Underachievers at the Jazz Cafe;16;-1
26;2016-09-17;Max Pope at The Waiting Room;1;-1
27;2016-11-01;James Blake 2016 UK & Ireland Tour;1;-1
28;2016-11-18;Desiigner in London;16;-1
29;2016-11-27;Katie Melua - Winter Tour with Gori Women's Choir;1;-1
30;2016-12-16;Panos Mouzourakis and Spuros Grammenos ston STN;1;-1
31;2016-12-17;Stavros Lantsias (ft Tyropoulos + Kalkanis + Kapilidis);1;-1
32;2017-01-18;Rae Sremmurd - SremmLife II Tour Europe;16;-1
33;2017-01-27;Stamatis Kraounakis & Speira Speira - 'ALL AS ONE' kiss me;1;-1
34;2017-02-06;Singing Greece: A Tribute;1;-1
35;2015-01-27;Pias Nites: Teleman/The Wytches/Gengahr;1;-1
36;2015-02-06;Gaz Coombes at Queen Elizabeth Hall;1;-1
37;2015-02-19;Ibeyi at Bush Hall;1;-1
38;2015-02-20;Jordan Rakei at St Pancras Old Church - First UK Show;1;4
39;2015-02-25;Pond at Electric Ballroom;1;-1
40;2015-05-22;Nilhs Frahm at Roundhouse;1;-1
41;2015-05-11;Paulos paulidis and the B Movies in Dingwalls;1;-1
42;2015-05-13;Forever Pavot at Servant Jazz Quarters;1;-1
43;2015-06-13;Michel Camilo Solo at Queen Elizabeth Hall;1;-1
44;2015-06-16;Jay Jay Johanson at Birthdays;1;-1
45;2015-06-25;The Gaslamp Killer experience with The Heliocentrics;1;-1
46;2015-03-10;Noel Gallaghers High Flying Birds UK Tour;1;-1
47;2015-09-01;Mac Demarco at Roundhouse;1;-1
48;2015-06-06;Field Day Festival 2015;3;-1
49;2015-10-21;Honne at Oval Space;1;-1
50;2015-08-19;Gwilym Gold at St Pancras Old Church;1;4
51;2015-12-02;Flo Morrissey at Bush Hall;1;-1
52;2015-11-26;The Vaccines at Brixton academy;1;-1
53;2015-10-09;Gaz Coombes at The Forum;1;-1
54;2015-05-19;Django Django at Koko;1;-1
55;2015-09-27;Forever Pavot at Servant Jazz Quarters;1;-1
56;2015-05-23;The cinematic orchestra at Roundhouse;1;-1
57;2015-07-01;Tunday Akintan at Purcell Room;1;-1
58;2015-11-13;Hidden Orchestra at St. Johns Hackney;1;-1
59;2015-06-19;Jordan Rakei at The 100 Club;1;-1
60;2015-06-12;GoGo Penguin at Koko;1;-1
