eventid;artistid;headliner;venueid
1;1;1;1
1;2;0;1
2;3;1;1
2;4;0;1
3;5;1;2
3;6;0;2
3;7;0;2
3;8;0;2
3;9;0;2
3;10;0;2
3;11;0;2
4;12;1;3
4;13;0;3
5;14;1;4
6;15;1;5
7;16;1;6
8;17;1;7
9;18;1;8
9;19;0;8
10;20;1;9
12;21;1;11
12;22;0;11
13;23;1;3
14;24;1;12
14;25;0;12
15;26;1;13
15;27;0;13
16;28;1;14
16;29;0;14
17;30;1;4
18;31;1;15
19;32;1;1
19;33;0;1
23;34;1;17
23;35;0;17
24;36;1;18
25;37;1;19
25;38;0;19
26;39;1;20
26;40;0;20
27;41;1;21
27;42;0;21
28;43;1;7
30;45;-1;96
22;48;-1;11
22;49;-1;11
22;50;-1;11
22;51;-1;11
21;52;-1;16
21;53;-1;16
21;54;-1;16
21;41;-1;16
21;56;-1;16
21;57;-1;16
21;58;-1;16
21;59;-1;16
21;60;-1;16
21;61;-1;16
32;65;1;105
32;62;0;105
32;63;0;105
33;66;1;108
34;67;-1;107
34;68;-1;107
34;69;-1;107
29;44;1;22
30;46;-1;96
31;47;1;23
35;70;1;110
35;71;0;110
35;72;0;110
36;1;1;111
36;73;0;111
37;74;1;112
37;75;0;112
38;29;1;4
38;77;0;4
39;78;1;7
39;79;0;7
41;26;1;9
41;27;0;9
42;84;1;113
42;85;0;113
42;86;0;113
43;87;1;111
44;88;1;114
44;89;0;114
45;91;1;115
45;92;0;115
46;95;0;11
46;94;1;11
47;97;1;1
47;98;0;1
48;100;-1;16
48;101;-1;16
48;102;-1;16
48;103;-1;16
48;108;-1;16
48;107;-1;16
48;23;-1;16
48;109;-1;16
48;106;-1;16
48;105;-1;16
48;98;-1;16
48;104;-1;16
49;105;1;116
49;110;0;116
50;111;1;4
50;110;0;4
51;112;1;112
51;40;0;112
52;113;1;3
52;114;0;3
53;1;1;117
53;116;0;117
54;117;1;115
54;118;0;115
55;84;1;113
55;86;0;113
56;120;1;1
56;121;0;1
57;123;1;118
57;124;0;118
58;125;1;119
58;126;0;119
59;29;1;120
59;128;0;120
60;129;1;115
60;130;0;115
61;132;1;121
61;133;0;121
62;135;1;122
62;136;0;122
63;37;1;123
64;138;1;6
65;138;1;6
66;139;1;124
67;140;1;125
68;140;1;126
69;141;1;110
70;142;1;118
71;143;1;11
72;144;1;112
73;145;1;118
74;146;1;120
74;147;0;120
74;148;0;120
75;153;1;3
75;154;0;3
75;155;0;3
76;156;1;1
76;157;0;1
76;158;0;1
77;159;1;3
77;160;0;3
77;161;0;3
77;162;0;3
77;92;0;3
40;81;1;1
40;82;0;1
78;164;1;127
78;165;0;127
78;166;0;127
78;167;0;127
79;168;1;128
79;169;0;128
80;170;1;129
80;171;0;129
81;172;1;130
81;173;0;130
82;174;1;131
82;175;0;131
89;192;1;130
89;193;0;130
89;194;0;130
93;201;-1;135
93;202;-1;135
93;203;-1;2
94;204;1;98
95;26;1;137
96;26;1;138
97;205;1;141
98;206;1;142
98;207;0;142
99;203;1;143
99;209;0;143
99;210;0;143
